Name	NumReads	ReadsMapped	PctOnTarget	GenesMapped	GenesWithContigs	GenesWithSeqs	GenesAt25pct	GenesAt50pct	GenesAt75pct	Genesat150pct	ParalogWarnings	Year	Herbarium	Project
Camissoniopsis_intermedia_TM_206	576651	350776	0.608	311	304	303	297	261	170	1	21	2016	no	Oenothera
Camissoniopsis_ignota_LOL_609	613037	459126	0.749	311	306	306	299	262	182	0	29	2016	no	Oenothera
Epilobium_obcordatum_RAL_08-09-02	654924	384850	0.588	313	300	298	290	235	127	2	2	2016	no	Oenothera
Chylismia_claviformis_funerea_LOL_196	539125	384018	0.712	310	307	305	299	269	192	1	32	2016	no	Oenothera
Fuchsia_tillettiana_LOL_678	655408	388436	0.593	311	297	294	284	225	125	6	20	2016	no	Oenothera
Oenothera_tubicula_tubicula_bjc01	496924	43616	0.088	269	188	183	155	95	46	0	4	2016	no	Oenothera
Gayophytum_racemosum_LOL_633	469382	336725	0.717	309	303	303	295	260	168	0	56	2016	no	Oenothera
Oenothera_psammophila_LOL_625	523909	167268	0.319	311	307	307	300	266	186	1	5	2016	no	Oenothera
Epilobium_minutum_Kay_1602	476324	272627	0.572	307	292	291	279	230	118	0	1	2016	no	Oenothera
Fuchsia_fulgens_LOL_674	200736	123386	0.615	303	278	276	261	187	83	0	1	2016	no	Oenothera
Camissoniopsis_cheiranthifolia_cheiranthifolia_MJM_3206	343456	27974	0.081	312	170	164	143	93	41	0	1	2016	no	Oenothera
Clarkia_amoena_whitneyi_LOL_337	164223	119372	0.727	308	293	293	278	225	117	1	11	2016	no	Oenothera
Oenothera_coloradensis_Krakos_2013002	343176	184949	0.539	314	304	303	295	270	178	0	1	2016	no	Oenothera
Oenothera_linifolia_MJM_2947	1115535	830382	0.744	311	310	308	305	283	207	2	1	2016	no	Oenothera
Oenothera_villosa_villosa_MJM817	861589	295600	0.343	311	307	305	300	266	198	1	4	2016	no	Oenothera
Oenothera_pallida_trichocalyx_LOL_155	365296	105481	0.289	310	289	288	279	236	154	1	6	2016	no	Oenothera
Clarkia_pulchella_LOL_684	337164	226950	0.673	309	294	294	287	251	158	5	39	2016	no	Oenothera
Clarkia_tenella_tenuifolia_AP-132	958852	686782	0.716	312	310	307	301	269	191	6	64	2016	no	Oenothera
Camissonia_campestris_campestris_LOL_277	688727	544308	0.79	310	308	306	301	271	185	0	38	2016	no	Oenothera
Clarkia_purpurea_viminea_MJM_3155	452334	349179	0.772	311	305	304	296	259	168	0	32	2016	no	Oenothera
Clarkia_imbricata_LOL_818	541337	407914	0.754	310	303	303	294	255	162	0	15	2016	no	Oenothera
Oenothera_sinuosa_MJM555	352207	109542	0.311	267	200	198	167	85	37	0	5	2016	no	Oenothera
Clarkia_arcuata_LOL_908	982866	737539	0.75	313	305	304	298	267	174	1	25	2016	no	Oenothera
Oenothera_lavandulifolia_bjc03	543213	250081	0.46	245	206	203	182	122	66	0	10	2016	no	Oenothera
Clarkia_speciosa_nitens_TM_208	1453261	1064849	0.733	310	307	307	302	274	196	9	67	2016	no	Oenothera
Epilobium_ciliatum_glandulosum_LOL_893	172333	115981	0.673	307	279	277	263	197	94	1	0	2016	no	Oenothera
Clarkia_rubicunda_ED_Sianta_1605_C	652926	508257	0.778	309	305	305	299	260	170	0	28	2016	no	Oenothera
Oenothera_gayleana_lol099	902609	572417	0.634	254	209	205	183	122	58	0	3	2016	no	Oenothera
Oenothera_glaucifolia_MJM769.1	464698	180477	0.388	310	300	299	289	246	154	1	4	2016	no	Oenothera
Oenothera_cespitosa_macroglottis_RAR_01-77	172545	26075	0.151	309	150	141	86	26	5	0	0	2016	no	Oenothera
Oenothera_tubifera_RAL-13-16	1589720	245423	0.154	315	308	307	301	280	206	0	4	2016	no	Oenothera
Gongylocarpus_fruticulosa_AMN_842	500649	88462	0.177	309	239	225	198	123	50	0	0	2016	no	Oenothera
Oenothera_humifusa_MJM_3336	1079245	829662	0.769	311	309	308	304	283	216	1	22	2016	no	Oenothera
